,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
530,전북,휴양콘도 운영업,80355.0
531,제주,건강보조식품 소매업,54280.0
532,제주,골프장 운영업,221110.0
533,제주,과실 및 채소 소매업,162776.0
534,제주,관광 민예품 및 선물용품 소매업,119722.0
535,제주,그외 기타 분류안된 오락관련 서비스업,9304.0
536,제주,그외 기타 스포츠시설 운영업,10140.0
537,제주,그외 기타 종합 소매업,272833.0
538,제주,기타 대형 종합 소매업,1144182.0
539,제주,기타 수상오락 서비스업,1378.0
540,제주,기타 외국식 음식점업,3447.0
541,제주,기타 주점업,108519.0
542,제주,기타음식료품위주종합소매업,134820.0
543,제주,내항 여객 운송업,18331.529411763582
544,제주,마사지업,7894.0
545,제주,면세점,820035251171796.6
546,제주,비알콜 음료점업,124909.0
547,제주,빵 및 과자류 소매업,8473.0
548,제주,서양식 음식점업,54475.0
549,제주,수산물 소매업,162613.0
550,제주,슈퍼마켓,761345.0
551,제주,스포츠 및 레크레이션 용품 임대업,3903.0
552,제주,여관업,101660.0
553,제주,여행사업,214410.0
554,제주,욕탕업,23464.0
555,제주,육류 소매업,111794.0
556,제주,일반유흥 주점업,175176.0
557,제주,일식 음식점업,32202.0
558,제주,자동차 임대업,439245.0
559,제주,전시 및 행사 대행업,22622.0
560,제주,정기 항공 운송업,1192454.882352855
561,제주,중식 음식점업,55811.0
562,제주,차량용 가스 충전업,175179.0
563,제주,차량용 주유소 운영업,601042.0
564,제주,체인화 편의점,448329.0
565,제주,택시 운송업,504004.17647058854
566,제주,피자 햄버거 샌드위치 및 유사 음식점업,61595.0
567,제주,한식 음식점업,1254813.0
568,제주,호텔업,809678.0
569,제주,화장품 및 방향제 소매업,148361.0
570,제주,휴양콘도 운영업,137082.0
571,충남,건강보조식품 소매업,68961.0
572,충남,골프장 운영업,138375.0
573,충남,과실 및 채소 소매업,184257.0
574,충남,관광 민예품 및 선물용품 소매업,14333.0
575,충남,그외 기타 분류안된 오락관련 서비스업,16178.0
576,충남,그외 기타 스포츠시설 운영업,6482.0
577,충남,그외 기타 종합 소매업,105774.0
578,충남,기타 대형 종합 소매업,1144899.0
579,충남,기타 수상오락 서비스업,1017.0
580,충남,기타 외국식 음식점업,15582.0
581,충남,기타 주점업,241942.0
582,충남,기타음식료품위주종합소매업,512435.0
583,충남,내항 여객 운송업,18331.529411764775
584,충남,마사지업,18112.0
585,충남,버스 운송업,499493.29411764635
586,충남,비알콜 음료점업,208566.0
587,충남,빵 및 과자류 소매업,18043.0
588,충남,서양식 음식점업,86565.0
589,충남,수산물 소매업,294027.0
590,충남,슈퍼마켓,1900207.0
