,CARD_SIDO_NM,avg_temp,precipitation,avg_relative_humidity,year,month
18075,전남,8.5,0.0,89.9,2019,02
18076,경북,7.8,0.0,80.0,2019,02
18077,경남,8.1,0.0,88.1,2019,02
18078,제주,13.3,0.0,83.5,2019,02
18079,서울,-0.6,0.0,40.4,2019,02
18080,부산,6.8,0.0,28.5,2019,02
18081,대구,4.1,0.0,28.9,2019,02
18082,광주,4.0,0.0,37.5,2019,02
18083,인천,-0.7,0.0,43.0,2019,02
18084,대전,1.3,0.0,51.5,2019,02
18085,울산,5.5,0.0,26.1,2019,02
18086,경기,-0.3,0.0,50.8,2019,02
18087,강원,4.3,0.0,24.1,2019,02
18088,충북,0.4,0.0,50.8,2019,02
18089,충남,-0.1,0.0,54.5,2019,02
18090,전북,2.7,0.0,56.5,2019,02
18091,전남,6.0,0.0,43.9,2019,02
18092,경북,4.7,0.0,31.0,2019,02
18093,경남,4.8,0.0,29.8,2019,02
18094,제주,6.9,0.0,49.9,2019,02
18095,서울,2.8,0.0,37.1,2019,02
18096,부산,8.0,0.0,40.4,2019,02
18097,대구,3.3,0.0,41.3,2019,02
18098,광주,5.4,0.0,45.5,2019,02
18099,인천,3.6,0.0,38.9,2019,02
18100,대전,3.2,0.0,50.4,2019,02
18101,울산,6.3,0.0,37.1,2019,02
18102,경기,1.3,0.0,54.5,2019,02
18103,강원,6.3,0.0,20.4,2019,02
18104,충북,0.6,0.0,58.0,2019,02
18105,충남,1.4,0.0,58.0,2019,02
18106,전북,5.1,0.0,48.3,2019,02
18107,전남,6.2,0.0,41.6,2019,02
18108,경북,4.8,0.0,24.8,2019,02
18109,경남,4.7,0.0,40.9,2019,02
18110,제주,9.3,0.0,57.0,2019,02
18111,서울,5.1,0.0,54.9,2019,02
18112,부산,10.5,0.0,45.6,2019,02
18113,대구,6.6,0.0,40.0,2019,02
18114,광주,7.3,0.0,61.9,2019,02
18115,인천,5.3,0.0,62.8,2019,02
18116,대전,6.1,0.0,69.0,2019,02
18117,울산,9.4,0.0,36.6,2019,02
18118,경기,4.8,0.0,66.4,2019,02
18119,강원,6.7,0.0,49.8,2019,02
18120,충북,3.4,0.0,66.0,2019,02
18121,충남,4.5,0.0,77.1,2019,02
18122,전북,7.1,0.0,65.8,2019,02
18123,전남,8.2,0.0,52.1,2019,02
18124,경북,8.2,0.0,39.3,2019,02
18125,경남,7.5,0.0,44.9,2019,02
